,SNR,Periodogram,MUSIC,FISTA
0,-10.0,10.744000434875488,19.2189998626709,14.526000022888184
1,0.0,17.43899917602539,25.742000579833984,19.378999710083008
2,10.0,17.98900032043457,20.385000228881836,18.94300079345703
3,20.0,17.579999923706055,20.191999435424805,17.365999221801758
4,30.0,17.743000030517578,19.55699920654297,18.29599952697754
5,40.0,18.04800033569336,20.895000457763672,19.843000411987305
